region,state_abb,id,year,avg_temp,temp_hist,temp_hist_sd,temp_sd,precip,precip_hist,precip_hist_sd,precip_sd,outcome
Northeast,CT,101,1951,29.7,27.63666666666667,3.6977886382929706,4.1185978646143715,4.21,3.0233333333333334,0.7892362829074226,0.9641827378648995,Early Spring
Northeast,CT,101,1952,29.2,27.78666666666667,3.624242098644075,4.1185978646143715,3.1950000000000003,3.060666666666667,0.7808388881719699,0.9641827378648995,Early Spring
Northeast,CT,101,1953,31.4,27.846666666666664,3.7199107478943167,4.1185978646143715,4.1899999999999995,3.158333333333333,0.8692229259939979,0.9641827378648995,Early Spring
Northeast,CT,101,1954,31.1,28.113333333333333,3.9214018126908257,4.1185978646143715,3.365,3.1313333333333335,0.8277110046487612,0.9641827378648995,Early Spring
Northeast,CT,101,1955,28.25,28.35333333333333,3.7826594989226923,4.1185978646143715,4.03,3.1526666666666667,0.847880330164869,0.9641827378648995,Early Spring
Northeast,CT,101,1956,26.75,28.513333333333335,3.720140721531181,4.1185978646143715,4.035,3.2870000000000004,0.8154029044209083,0.9641827378648995,Early Spring
Northeast,CT,101,1957,30.450000000000003,28.68333333333333,3.636371081618201,4.1185978646143715,2.035,3.163333333333333,0.8380947704214887,0.9641827378648995,Early Spring
Northeast,CT,101,1958,25.599999999999998,28.576666666666668,3.8382959609112914,4.1185978646143715,3.05,3.1976666666666667,0.823583287288354,0.9641827378648995,Early Spring
Northeast,CT,101,1959,25.6,28.576666666666675,3.832940578225351,4.1185978646143715,2.91,3.176333333333333,0.8177653092815846,0.9641827378648995,Late Winter
Northeast,CT,101,1960,25.549999999999997,28.106666666666666,3.8087624047879425,4.1185978646143715,3.225,3.2006666666666668,0.8902840411672002,0.9641827378648995,Early Spring
Northeast,CT,101,1961,28.6,27.913333333333334,3.251449633236491,4.1185978646143715,3.3600000000000003,3.2646666666666664,0.8622431229660746,0.9641827378648995,Early Spring
Northeast,CT,101,1962,26.25,27.990000000000002,3.272239827140919,4.1185978646143715,2.685,3.276333333333333,0.8622995405085907,0.9641827378648995,Early Spring
Northeast,CT,101,1963,24.65,27.88666666666667,3.4848485674400314,4.1185978646143715,2.9000000000000004,3.2846666666666664,0.8550298272245732,0.9641827378648995,Early Spring
Northeast,CT,101,1964,27.6,27.67666666666667,3.4415189996972035,4.1185978646143715,2.87,3.314333333333334,0.8405752205289853,0.9641827378648995,Early Spring
Northeast,CT,101,1965,26.15,27.790000000000003,3.3244534977580336,4.1185978646143715,2.51,3.2380000000000004,0.8673397751259191,0.9641827378648995,Late Winter
Northeast,CT,101,1966,28.65,27.720000000000006,3.320270339256175,4.1185978646143715,2.835,3.1463333333333336,0.826937369987262,0.9641827378648995,Early Spring
Northeast,CT,101,1967,23.65,27.35,3.4411549114000426,4.1185978646143715,2.745,3.1163333333333334,0.8366529217459147,0.9641827378648995,Late Winter
Northeast,CT,101,1968,26.599999999999998,27.03,3.4037909760052396,4.1185978646143715,2.41,2.9976666666666665,0.7937449962367777,0.9641827378648995,Early Spring
Northeast,CT,101,1969,26.9,26.75,3.1350584589718817,4.1185978646143715,2.3049999999999997,2.9269999999999996,0.8080137084047401,0.9641827378648995,Early Spring
Northeast,CT,101,1970,26.15,26.61,3.1213180623642836,4.1185978646143715,3.1550000000000002,2.8686666666666665,0.7495416560726194,0.9641827378648995,Early Spring
